,account,post,follower,follow,open_account,official_account,image_love,image_comment,video_love,video_comment,igtv_love,igtv_comment,ER,active_rate
140,https://instagram.com/i.hate.cucumber,331,197545,297,1,0,2592,20,0,0,0,0,1.322230378,0.771307366
141,https://instagram.com/bbia.official,962,204549,2,1,1,1668,69,7197,17,0,0,0.849185281,4.134212103
142,https://instagram.com/jju_dresser,3224,131147,503,1,0,631,47,21518,36,12945,24,0.516977133,7.436708861
143,https://instagram.com/mini_o24,1247,62586,178,1,0,622,23,26572,26,34325,36,1.030581919,3.691813804
144,https://instagram.com/yeonpilates,2658,241107,407,1,0,1533,62,22850,47,0,0,0.661532017,4.041720991
145,https://instagram.com/olaborasong,3033,199824,611,1,0,12551,345,30250,161,0,0,6.453679238,2.748565966
146,https://instagram.com/mming_kkong_,1513,68562,994,1,0,4071,41,0,0,0,0,5.997491322,1.006876228
147,https://instagram.com/hyanggggg_,1048,212423,351,1,0,3351,21,0,0,0,0,1.587398728,0.626491647
148,https://instagram.com/leah_miso,1508,211396,123,1,0,1778,13,11201,17,0,0,0.847225113,0.730747611
149,https://instagram.com/jenny_beauty0209,666,235259,234,1,0,4079,30,381000,624,0,0,1.746585678,0.735294118
150,https://instagram.com/iamtaengja,134,41924,414,1,0,4940,627,0,0,0,0,13.27879019,12.68973892
151,https://instagram.com/tamystory,1970,66466,666,1,1,938,46,9996,46,0,0,1.480456173,4.898828541
152,https://instagram.com/kimdayeong_life,2383,169374,311,1,0,6569,89,34450,28,62600,117,3.930945718,1.354642314
153,https://instagram.com/yeonggine,61,113803,865,1,0,266,13,3133,16,0,0,0.245160497,4.868913858
154,https://instagram.com/nice_nemo,3042,121858,832,1,0,970,61,21497,36,0,0,0.846066733,6.282183316
155,https://instagram.com/manyo_yoojin,6107,597799,228,1,0,6819,92,0,0,0,0,1.156074199,1.348973607
156,https://instagram.com/cchan_fee4,1204,252238,986,1,1,17797,135,0,0,0,0,7.10915881,0.758512192
157,https://instagram.com/sson__s,2308,46493,289,1,0,609,71,6207,26,0,0,1.462585766,11.63934426
158,https://instagram.com/kukukuyeah,620,215266,568,1,0,22436,290,91000,1311,0,0,10.55717113,1.292507911
159,https://instagram.com/moon_hahyeon,355,176860,919,1,0,3498,29,4748,33,0,0,1.994232726,0.828808231
160,https://instagram.com/twinkle_sunny7,3812,318056,674,1,0,1768,91,20530,208,0,0,0.584488266,5.144149237
161,https://instagram.com/bunnyaire,6216,462006,895,1,1,9856,83,129000,81,0,0,2.151270763,0.842041189
162,https://instagram.com/_s_hj,270,199166,355,1,0,6959,62,15600,83,21000,20,3.525200084,0.890804598
163,https://instagram.com/froydz,422,649338,461,1,0,5026,7,0,0,0,0,0.775097099,0.13924806
164,https://instagram.com/sso_ix,525,88672,79,1,0,2358,5,3339,7,0,0,2.664877301,0.211954218
165,https://instagram.com/harry_bloom,519,167366,458,1,0,3551,101,32091,46,0,0,2.182044143,2.843468468
166,https://instagram.com/all6i2,1817,92992,2,1,0,508,58,0,0,0,0,0.608654508,11.39489194
167,https://instagram.com/sh1994m,387,156661,208,1,0,1356,12,815,4,0,0,0.873223074,0.884303611
168,https://instagram.com/16.brand,1755,183395,5,1,0,1649,38,4115,4,0,0,0.919872407,2.303030303
